event_id,robot_id,component_id,triggering_sensor_id,triggering_sensor_name,threshold_breached,threshold_value,reading_value_at_detection,wing_unit_range_start,wing_unit_range_end,failure_mode,root_cause,resolution,detection_method,onset_ts,detected_ts,resolved_ts,time_to_detect_hrs,time_to_resolve_hrs,severity,downtime_hrs,production_units_affected,quality_impact,estimated_cost_impact_usd,status
FE0017,R102,C-R102-SPN,S-R102-01,Welding Temperature,high,430.0,447.3,WNG-2026-01370,WNG-2026-01379,Weld Overheat,FSW Tool Overheating,"Tool cooling cycle adjusted, tool inspected",AI Anomaly Detection,2026-03-16 07:37:00,2026-03-16 10:37:00,2026-03-16 12:37:00,3.0,2,High,2,10,No Impact,3080,Resolved
FE0054,R105,C-R105-PCU,S-R105-04,CPU Temperature,high,70.0,84.43,WNG-2026-01375,WNG-2026-01386,Vision Processor Overheating,Cooling Fan Failure,Processing unit cooling fan replaced,AI Anomaly Detection,2026-03-17 10:47:00,2026-03-17 11:47:00,2026-03-17 19:47:00,1.0,8,Medium,8,12,1 unit flagged for rework,11080,Resolved
FE0006,R101,C-R101-TRN,S-R101-05,Torque Sensor,high,1000.0,1031.65,WNG-2026-01380,WNG-2026-01385,Excess Mechanical Resistance,Joint Misalignment,Joint alignment corrected,AI Anomaly Detection,2026-03-18 03:15:00,2026-03-18 11:15:00,2026-03-18 14:15:00,8.0,3,High,3,6,No Impact,5049,Resolved
FE0029,R103,C-R103-ACT,S-R103-05,Encoder Position,high,0.8,0.85,WNG-2026-01380,WNG-2026-01387,Rivet Placement Drift,Encoder Misalignment,Rivet position encoder recalibrated,AI Anomaly Detection,2026-03-18 23:18:00,2026-03-19 04:18:00,2026-03-19 07:18:00,5.0,3,High,3,8,1 unit flagged for rework,4559,Resolved
FE0042,R104,C-R104-PMP,S-R104-02,Paint Flow Rate,low,18.0,14.52,WNG-2026-01420,WNG-2026-01426,Flow Reduction,Nozzle Partial Clog,Nozzle cleaned,AI Anomaly Detection,2026-03-26 13:37:00,2026-03-26 15:37:00,2026-03-26 20:37:00,2.0,5,Low,5,7,1 unit flagged for rework,7241,Resolved
FE0018,R102,C-R102-CLT,S-R102-03,Coolant Flow Rate,low,8.0,7.96,WNG-2026-01430,WNG-2026-01440,Coolant Flow Loss,Coolant Pump Seal Failure,Coolant pump seal replaced,AI Anomaly Detection,2026-03-28 10:03:00,2026-03-28 14:03:00,2026-03-28 20:03:00,4.0,6,High,6,11,No Impact,7667,Resolved
FE0030,R103,C-R103-ACT,S-R103-05,Encoder Position,high,0.8,0.85,WNG-2026-01440,WNG-2026-01449,Rivet Placement Drift,Encoder Misalignment,Rivet position encoder recalibrated,AI Anomaly Detection,2026-03-30 07:12:00,2026-03-30 09:12:00,2026-03-30 13:12:00,2.0,4,High,4,10,1 unit flagged for rework,5786,Resolved
FE0055,R105,C-R105-LSR,S-R105-02,Laser Thickness,high,0.12,0.12,WNG-2026-01480,WNG-2026-01483,Laser Drift,Calibration Loss,Laser thickness sensor recalibrated,AI Anomaly Detection,2026-04-07 23:28:00,2026-04-08 01:28:00,2026-04-08 09:28:00,2.0,8,High,8,4,No Impact,10914,Resolved
FE0007,R101,C-R101-TRN,S-R101-05,Torque Sensor,high,1000.0,1063.37,WNG-2026-01490,WNG-2026-01497,Excess Mechanical Resistance,Joint Misalignment,Joint alignment corrected,AI Anomaly Detection,2026-04-09 02:23:00,2026-04-09 04:23:00,2026-04-09 09:23:00,2.0,5,High,5,8,No Impact,7258,Resolved
FE0031,R103,C-R103-ACT,S-R103-04,Vibration,high,7.0,7.35,WNG-2026-01495,WNG-2026-01502,Bearing Wear,Actuator Bearing Degradation,Actuator bearing replaced,AI Anomaly Detection,2026-04-10 06:14:00,2026-04-10 13:14:00,2026-04-10 18:14:00,7.0,5,High,5,8,No Impact,6311,Resolved
FE0056,R105,C-R105-CAM,S-R105-03,Lighting Intensity,low,500.0,472.58,WNG-2026-01535,WNG-2026-01542,Lighting Degradation,LED Array Aging,Lighting array replaced,AI Anomaly Detection,2026-04-18 11:37:00,2026-04-18 13:37:00,2026-04-18 21:37:00,2.0,8,High,8,8,1 unit flagged for rework,9902,Resolved
FE0019,R102,C-R102-SPN,S-R102-05,Vibration,high,8.0,8.59,WNG-2026-01540,WNG-2026-01550,Spindle Bearing Wear,Lubrication Loss,Spindle bearing replaced and relubricated,AI Anomaly Detection,2026-04-19 20:42:00,2026-04-19 21:42:00,2026-04-20 02:42:00,1.0,5,High,5,11,2 units flagged for rework,6504,Resolved
FE0043,R104,C-R104-PMP,S-R104-04,Pump Current,high,20.0,21.33,WNG-2026-01545,WNG-2026-01549,Pump Overload,Pump Bearing Wear,Paint delivery pump replaced,AI Anomaly Detection,2026-04-20 00:51:00,2026-04-20 05:51:00,2026-04-20 10:51:00,5.0,5,High,5,5,1 unit flagged for rework,7467,Resolved
FE0032,R103,C-R103-ACT,S-R103-05,Encoder Position,high,0.8,0.84,WNG-2026-01575,WNG-2026-01579,Rivet Placement Drift,Encoder Misalignment,Rivet position encoder recalibrated,AI Anomaly Detection,2026-04-26 18:30:00,2026-04-26 19:30:00,2026-04-27 01:30:00,1.0,6,Critical,6,5,2 units flagged for rework,7748,Resolved
FE0008,R101,C-R101-TRN,S-R101-04,Encoder Position,high,1.0,1.04,WNG-2026-01585,WNG-2026-01590,Positioning Drift,Encoder Calibration Loss,Encoder recalibrated and repositioned,AI Anomaly Detection,2026-04-28 17:48:00,2026-04-28 23:48:00,2026-04-29 01:48:00,6.0,2,High,2,6,No Impact,3629,Resolved
FE0044,R104,C-R104-PMP,S-R104-02,Paint Flow Rate,low,18.0,17.11,WNG-2026-01590,WNG-2026-01596,Flow Reduction,Nozzle Partial Clog,Nozzle cleaned,AI Anomaly Detection,2026-04-29 15:30:00,2026-04-29 23:30:00,2026-04-30 02:30:00,8.0,3,Low,3,7,1 unit flagged for rework,4597,Resolved
FE0020,R102,C-R102-CLT,S-R102-03,Coolant Flow Rate,low,12.0,9.4,WNG-2026-01590,WNG-2026-01595,Coolant Flow Loss,Coolant Pump Seal Failure,Coolant pump seal replaced,AI Anomaly Detection,2026-04-29 23:15:00,2026-04-30 03:15:00,2026-04-30 07:15:00,4.0,4,Medium,4,6,No Impact,6212,Resolved
FE0057,R105,C-R105-CAM,S-R105-01,Camera Temperature,high,70.0,75.19,WNG-2026-01625,WNG-2026-01626,Camera Overheating,Cooling Vent Blockage,Camera cooling vent cleaned,AI Anomaly Detection,2026-05-06 21:33:00,2026-05-07 05:33:00,2026-05-07 07:33:00,8.0,2,High,2,2,2 units flagged for rework,3190,Resolved
FE0021,R102,C-R102-CLT,S-R102-03,Coolant Flow Rate,low,8.0,7.84,WNG-2026-01635,WNG-2026-01645,Coolant Flow Loss,Coolant Pump Seal Failure,Coolant pump seal replaced,AI Anomaly Detection,2026-05-08 17:52:00,2026-05-08 22:52:00,2026-05-09 02:52:00,5.0,4,Critical,4,11,No Impact,5802,Resolved
FE0009,R101,C-R101-TRN,S-R101-05,Torque Sensor,high,850.0,874.23,WNG-2026-01635,WNG-2026-01641,Excess Mechanical Resistance,Joint Misalignment,Joint alignment corrected,AI Anomaly Detection,2026-05-08 19:11:00,2026-05-08 20:11:00,2026-05-09 02:11:00,1.0,6,Medium,6,7,No Impact,7729,Resolved
FE0045,R104,C-R104-PMP,S-R104-04,Pump Current,high,15.0,17.45,WNG-2026-01650,WNG-2026-01654,Pump Overload,Pump Bearing Wear,Paint delivery pump replaced,AI Anomaly Detection,2026-05-11 00:33:00,2026-05-11 02:33:00,2026-05-11 06:33:00,2.0,4,Medium,4,5,No Impact,5598,Resolved
FE0033,R103,C-R103-ACT,S-R103-04,Vibration,high,7.0,7.27,WNG-2026-01690,WNG-2026-01701,Bearing Wear,Actuator Bearing Degradation,Actuator bearing replaced,AI Anomaly Detection,2026-05-19 22:48:00,2026-05-20 02:48:00,2026-05-20 10:48:00,4.0,8,Critical,8,12,No Impact,10967,Resolved
FE0022,R102,C-R102-SPN,S-R102-04,Motor Current,high,42.0,45.05,WNG-2026-01700,WNG-2026-01707,Spindle Motor Overload,Excess Weld Load,"Spindle motor overload cleared, drive reset",AI Anomaly Detection,2026-05-21 00:59:00,2026-05-21 02:59:00,2026-05-21 09:59:00,2.0,7,High,7,8,1 unit flagged for rework,8790,Resolved
FE0046,R104,C-R104-PMP,S-R104-01,Paint Pressure,low,4.0,3.34,WNG-2026-01735,WNG-2026-01747,Pressure Drop,Paint Pump Wear,Paint pump diaphragm replaced,AI Anomaly Detection,2026-05-28 10:31:00,2026-05-28 16:31:00,2026-05-28 20:31:00,6.0,4,Medium,4,13,No Impact,5727,Resolved
FE0034,R103,C-R103-ACT,S-R103-04,Vibration,high,7.0,7.4,WNG-2026-01740,WNG-2026-01746,Bearing Wear,Actuator Bearing Degradation,Actuator bearing replaced,AI Anomaly Detection,2026-05-29 05:52:00,2026-05-29 10:52:00,2026-05-29 14:52:00,5.0,4,High,4,7,1 unit flagged for rework,5265,Resolved
FE0058,R105,C-R105-PCU,S-R105-04,CPU Temperature,high,70.0,84.88,WNG-2026-01740,WNG-2026-01751,Vision Processor Overheating,Cooling Fan Failure,Processing unit cooling fan replaced,AI Anomaly Detection,2026-05-29 22:28:00,2026-05-30 06:28:00,2026-05-30 08:28:00,8.0,2,Medium,2,12,1 unit flagged for rework,3720,Resolved
FE0010,R101,C-R101-TRN,S-R101-05,Torque Sensor,high,1000.0,1075.76,WNG-2026-01745,WNG-2026-01747,Excess Mechanical Resistance,Joint Misalignment,Joint alignment corrected,AI Anomaly Detection,2026-05-30 20:53:00,2026-05-31 04:53:00,2026-05-31 12:53:00,8.0,8,High,8,3,2 units flagged for rework,10990,Resolved
FE0047,R104,C-R104-NOZ,S-R104-05,Robot Speed,high,180.0,238.6,WNG-2026-01790,WNG-2026-01804,Speed Deviation,Arm Servo Drive Fault,Arm servo drive recalibrated,AI Anomaly Detection,2026-06-08 10:20:00,2026-06-08 15:20:00,2026-06-08 17:20:00,5.0,2,Medium,2,15,No Impact,3165,Resolved
FE0059,R105,C-R105-CAM,S-R105-01,Camera Temperature,high,70.0,74.42,WNG-2026-01790,WNG-2026-01799,Camera Overheating,Cooling Vent Blockage,Camera cooling vent cleaned,AI Anomaly Detection,2026-06-08 10:30:00,2026-06-08 16:30:00,2026-06-09 00:30:00,6.0,8,High,8,10,No Impact,9905,Resolved
FE0023,R102,C-R102-SPN,S-R102-04,Motor Current,high,42.0,43.96,WNG-2026-01790,WNG-2026-01791,Spindle Motor Overload,Excess Weld Load,"Spindle motor overload cleared, drive reset",AI Anomaly Detection,2026-06-08 19:28:00,2026-06-09 02:28:00,2026-06-09 05:28:00,7.0,3,Critical,3,2,No Impact,3981,Resolved
FE0011,R101,C-R101-SRV,S-R101-01,Joint Temperature,high,70.0,80.08,WNG-2026-01795,WNG-2026-01803,Servo Overheating,Cooling Fan Degradation,Cooling fan cleaned and replaced,AI Anomaly Detection,2026-06-09 05:16:00,2026-06-09 13:16:00,2026-06-09 19:16:00,8.0,6,Medium,6,9,No Impact,7960,Resolved
FE0035,R103,C-R103-ACT,S-R103-01,Pneumatic Pressure,low,5.0,4.42,WNG-2026-01840,WNG-2026-01853,Pressure Loss,Pneumatic Line Leakage,"Pneumatic seal replaced, line pressure restored",AI Anomaly Detection,2026-06-18 03:04:00,2026-06-18 04:04:00,2026-06-18 12:04:00,1.0,8,Medium,8,14,No Impact,10876,Resolved
FE0048,R104,C-R104-NOZ,S-R104-03,Nozzle Temperature,high,65.0,66.9,WNG-2026-01845,WNG-2026-01850,Nozzle Overheating,Paint Residue Buildup,Nozzle cleaned and cooled,AI Anomaly Detection,2026-06-19 08:34:00,2026-06-19 09:34:00,2026-06-19 15:34:00,1.0,6,Medium,6,6,1 unit flagged for rework,7758,Resolved
FE0024,R102,C-R102-SPN,S-R102-04,Motor Current,high,42.0,44.97,WNG-2026-01885,WNG-2026-01899,Spindle Motor Overload,Excess Weld Load,"Spindle motor overload cleared, drive reset",AI Anomaly Detection,2026-06-27 22:07:00,2026-06-28 01:07:00,2026-06-28 04:07:00,3.0,3,Critical,3,15,No Impact,4262,Resolved
FE0036,R103,C-R103-ACT,S-R103-01,Pneumatic Pressure,low,4.0,3.99,WNG-2026-01890,WNG-2026-01894,Pressure Loss,Pneumatic Line Leakage,"Pneumatic seal replaced, line pressure restored",AI Anomaly Detection,2026-06-28 03:21:00,2026-06-28 07:21:00,2026-06-28 12:21:00,4.0,5,Critical,5,5,No Impact,7294,Resolved
FE0060,R105,C-R105-PCU,S-R105-04,CPU Temperature,high,85.0,88.29,WNG-2026-01890,WNG-2026-01896,Vision Processor Overheating,Cooling Fan Failure,Processing unit cooling fan replaced,AI Anomaly Detection,2026-06-28 10:24:00,2026-06-28 17:24:00,2026-06-28 22:24:00,7.0,5,High,5,7,1 unit flagged for rework,6789,Resolved
FE0012,R101,C-R101-SRV,S-R101-02,Motor Current,high,18.0,20.83,WNG-2026-01895,WNG-2026-01896,Servo Overload,Excess Load on Positioning Axis,Motor current normalized after servo drive reset,AI Anomaly Detection,2026-06-29 22:59:00,2026-06-30 02:59:00,2026-06-30 04:59:00,4.0,2,Low,2,2,1 unit flagged for rework,2845,Resolved
